sentence_id	sentence	sentence_domain	source	is_used	clips_count
01899bbb6d122429c7d0ff5929bd214494d4ccdf6f7f2f745d7a55e268732f76	I fjor gjaldt dette hver fjerde elev.	general	https://www.nb.no/sprakbanken/ressurskatalog/oai-nb-no-sbr-80/  This is a CC0 licensed corpus cleared from newspaper text. The source sentences from a translation corpus is used.  It is released by Språkbanken.	1	0
04a1e8feb28aee72a1b69436f69a380071ace2431bff2abbe993d9467d31ea99	Dette er helt klart en utfordring for landbruket.	general	https://www.nb.no/sprakbanken/ressurskatalog/oai-nb-no-sbr-80/  This is a CC0 licensed corpus cleared from newspaper text. The source sentences from a translation corpus is used.  It is released by Språkbanken.	1	0
05e00adc32387c16a56d8fdd7302b801b1c0bbec279d7797073efbcdf91c1cf1	Vi er nødt til å hjelpe hverandre, sier han.	general	https://www.nb.no/sprakbanken/ressurskatalog/oai-nb-no-sbr-80/  This is a CC0 licensed corpus cleared from newspaper text. The source sentences from a translation corpus is used.  It is released by Språkbanken.	1	0
0a109d3f4a877b4ea916c311adfe84346b2398a23b21ba30cae8956bcadb2da8	Han mener noe må gjøres med veistandarden.	general	https://www.nb.no/sprakbanken/ressurskatalog/oai-nb-no-sbr-80/  This is a CC0 licensed corpus cleared from newspaper text. The source sentences from a translation corpus is used.  It is released by Språkbanken.	1	0
0a9dabbf7e9a6dbdd2ac02894aef370e94383d4c21c7b41e19386c2d53596142	Halvparten av dem er forfalskninger.	general	https://www.nb.no/sprakbanken/ressurskatalog/oai-nb-no-sbr-80/  This is a CC0 licensed corpus cleared from newspaper text. The source sentences from a translation corpus is used.  It is released by Språkbanken.	1	0
0e539099a188238651933ef8431c582a58a661d7b5da0d9e2640e92bb6e9b9d1	Stadig flere av adoptivbarna kommer fra europeiske land.		sentence-collector	1	0
11efadad484f85bb9493712a98332d792d742ffb122d17983d3c4cc0f250f08a	Meningen er at avtalen skal legge til rette for fred.	general	https://www.nb.no/sprakbanken/ressurskatalog/oai-nb-no-sbr-80/  This is a CC0 licensed corpus cleared from newspaper text. The source sentences from a translation corpus is used.  It is released by Språkbanken.	1	0
11fd7964724937144473585f852d6d1d819ddfb50bcd912b9e3579df3dd0efbd	Det raste en storm, natten var halvmørk.	media_entertainment	http://urn.nb.no/URN:NBN:no-nb_digibok_2009051403022	1	0
13173f7bde753490c35ee04eec8d4015ae30ef159970791b2970d4a9e51d2bfa	Iver har kommet godt i gang i sin nye danske klubb.	general	https://www.nb.no/sprakbanken/ressurskatalog/oai-nb-no-sbr-80/  This is a CC0 licensed corpus cleared from newspaper text. The source sentences from a translation corpus is used.  It is released by Språkbanken.	1	0
146580fe4b1dc5869b14c2134ec9ecdc0877fa13a3d5690b1fc4484a6f9c7adf	tjuesju tusen to hundre og femtito		sentence-collector	1	0
148f87f55e7759461ce5268ce1df53400e1497744dcf181f052022ddffbe63e2	En av seks studenter innrømmer juks i en ny undersøkelse.	general	https://www.nb.no/sprakbanken/ressurskatalog/oai-nb-no-sbr-80/  This is a CC0 licensed corpus cleared from newspaper text. The source sentences from a translation corpus is used.  It is released by Språkbanken.	1	0
14e3369d539ec48227bc8ae34db53b3b85f76d820921484ffb97e4a158096c60	Det er ikke meldt om eksplosjonsfare etter arbeidsulykken.	general	https://www.nb.no/sprakbanken/ressurskatalog/oai-nb-no-sbr-80/  This is a CC0 licensed corpus cleared from newspaper text. The source sentences from a translation corpus is used.  It is released by Språkbanken.	1	0
15c530f3ace7bbd0cf2e2b82baf821f5cb9ac9c2a138633a6dbde38c089cac6e	Det var stor politisk uenighet om bruken av abortpillen.	general	https://www.nb.no/sprakbanken/ressurskatalog/oai-nb-no-sbr-80/  This is a CC0 licensed corpus cleared from newspaper text. The source sentences from a translation corpus is used.  It is released by Språkbanken.	1	0
167e3ec047db3ff003f28648915fded631ea2155f3c4b0473c5e3d2aa639fd85	Takk!		sentence-collector	1	0
172835fa37bea40877a3ecda6fa5beef04a3315b4cb07e6f6199924f670c989b	Det er norsk rekord på distansen.	general	https://www.nb.no/sprakbanken/ressurskatalog/oai-nb-no-sbr-80/  This is a CC0 licensed corpus cleared from newspaper text. The source sentences from a translation corpus is used.  It is released by Språkbanken.	1	0
17a193d32c69b589021cd039bed728830f13822eb82c8bccdd2cbaf3f927ab47	to to fire seks trettisju ni hundre og tjueseks		sentence-collector	1	0
183e4fa70bd37e0f2f1c22dbf1568e7514b010e68bae7db155045fb924cd4cbe	Noen ganger tror jeg at jeg lever i en simulering.		sentence-collector	1	0
196c8a2c932729298ceec4f0a840078fa70514c5d6acaadb81b7061d3a9de5df	Vi har forskjellige størrelser tilgjengelig i dette produktet.	service_retail	Selvsitering	1	0
1c3498658e8358f9b54096b6d1e042c5cdbc051daae7b32f8de868e93e4e07d8	Så jeg har ikke helt grep om det sjøl.	general	https://www.nb.no/sprakbanken/ressurskatalog/oai-nb-no-sbr-80/  This is a CC0 licensed corpus cleared from newspaper text. The source sentences from a translation corpus is used.  It is released by Språkbanken.	1	0
1ee938ee234be45c7295ec5060830abf2a9666f1606b97286274a3ef8aaf3659	Politiet ønsker heller ikke å kommentere saken.	general	https://www.nb.no/sprakbanken/ressurskatalog/oai-nb-no-sbr-80/  This is a CC0 licensed corpus cleared from newspaper text. The source sentences from a translation corpus is used.  It is released by Språkbanken.	1	0
1f662d3e23f87a37cde74c1f1e01e650025aa9bec94baabb67b29187d3d1db5a	Han har selv fått kjenne på det.	general	https://www.nb.no/sprakbanken/ressurskatalog/oai-nb-no-sbr-80/  This is a CC0 licensed corpus cleared from newspaper text. The source sentences from a translation corpus is used.  It is released by Språkbanken.	1	0
2095eca3202751a41d454bb327382edffd08f7c62eed4dedd7e9d24d4f9b288b	hotell		sentence-collector	1	0
22a0ab4fd1f40e6d2c3bba6a1ecef547128c28a8a038104b6d65e28687054b07	ikke svar		sentence-collector	1	0
23580a237b44c25bb9b9c0294059438c1f9d98e3ed61c2c1901def4777d35f78	Den står den dag i dag.	nature_environment	Selvsitering	1	0
