sentence_id	sentence	sentence_domain	source
00fe44aecee8909e5a7a96b81abf58c1288813ac109f89b56272c8b18aff21d8	Suso feiret ikke scoringen.	general	https://www.nb.no/sprakbanken/ressurskatalog/oai-nb-no-sbr-80/  This is a CC0 licensed corpus cleared from newspaper text. The source sentences from a translation corpus is used.  It is released by Språkbanken.
011035b1639a12fe670609b35f6fff10fb78310cfe44330e54c675f0f5c0fb98	Fullt spaltegulv eller drenert gulv er ikke tillatt.	general	https://www.nb.no/sprakbanken/ressurskatalog/oai-nb-no-sbr-80/  This is a CC0 licensed corpus cleared from newspaper text. The source sentences from a translation corpus is used.  It is released by Språkbanken.
019ea86d6cc02a83e8cd4d577b87e1782b4b15892611a5cfa40fcca5ade8d7b7	Litt unntak for fredag kveld og først på dagen lørdag, riktignok.	general	https://www.nb.no/sprakbanken/ressurskatalog/oai-nb-no-sbr-80/  This is a CC0 licensed corpus cleared from newspaper text. The source sentences from a translation corpus is used.  It is released by Språkbanken.
01f79e9e2cdcd623fca0660e2a068db4847b0808e637fbd97b5c5cca8bc99939	Samme dag skulle flere greske ministre vil besøke leiren.	general	"https://www.nb.no/sprakbanken/ressurskatalog/oai-nb-no-sbr-80/	This is a CC0 licensed corpus cleared from newspaper text. The source sentences from a translation corpus is used.  It is released by Språkbanken."
033a419157c4d55917771e27d025986cf179875793aacad474877a1526770d96	Spillet vant den prestisjetunge prisen Spiel des Jahres dette året.	general	https://no.wikipedia.org/wiki/Catan
03ba0de972482f53b8cc748d35ee71e3ee9826d5bd57e9aab8ff1390b9bad647	Det er bare positivt, ikke noe negativt, sa han.	general,general,general	https://www.nb.no/sprakbanken/ressurskatalog/oai-nb-no-sbr-80/  This is a CC0 licensed corpus cleared from newspaper text. The source sentences from a translation corpus is used.  It is released by Språkbanken.
04105d566fb547aceee52985649d6399a561b4352377099feb1af12e35afe5d2	Kan jeg ta en telefonnummer for å følge opp?	service_retail	Selvsitering
0477c14f9a71fca918dcf4eb59015ed9e21c036b6945f0dbc809089d0ead77ee	Graderingssystemet kan også påvirke lærernes lønnsforhold, legger hun til.	general	https://www.nb.no/sprakbanken/ressurskatalog/oai-nb-no-sbr-80/  This is a CC0 licensed corpus cleared from newspaper text. The source sentences from a translation corpus is used.  It is released by Språkbanken.
04f50526d589a6e9d8f134732e41dca5c68a98ef781e16d7e8e1f353b3c218b7	Topprioriterte cv		Selvsitering
06171e8a5b0f9b7fbf0ed899379da73efa73b9d539f944bbfab0d55da646f6d3	Summa summarum blir statssekretærkorpset utvidet med to personer.	general	https://www.nb.no/sprakbanken/ressurskatalog/oai-nb-no-sbr-80/  This is a CC0 licensed corpus cleared from newspaper text. The source sentences from a translation corpus is used.  It is released by Språkbanken.
074b275c6e9208a2dfe29847157243d42fa8a626d818ac1cadd6502985a14461	Det melder australske medier fredag.	general	https://www.nb.no/sprakbanken/ressurskatalog/oai-nb-no-sbr-80/  This is a CC0 licensed corpus cleared from newspaper text. The source sentences from a translation corpus is used.  It is released by Språkbanken.
0838dd274389f8f984b096723e7a069a6e3377cf49df21a2f2226760d466bb58	Homofile innenfor idretten har det heler ikke bra.	general	https://www.nb.no/sprakbanken/ressurskatalog/oai-nb-no-sbr-80/  This is a CC0 licensed corpus cleared from newspaper text. The source sentences from a translation corpus is used.  It is released by Språkbanken.
094b7a994eca312667856bc115995643a97928608253957cf92334da3b1a9f3d	Pilene peker like kraftig nedover når ungdom blir spurt om røyking.	general	https://www.nb.no/sprakbanken/ressurskatalog/oai-nb-no-sbr-80/  This is a CC0 licensed corpus cleared from newspaper text. The source sentences from a translation corpus is used.  It is released by Språkbanken.
0c6da99e9dc66518c074035817e6688e4deb163178420ef4b88d02dbc388e50d	Nå er det på plass gjennom resalderingen.	general	https://www.nb.no/sprakbanken/ressurskatalog/oai-nb-no-sbr-80/  This is a CC0 licensed corpus cleared from newspaper text. The source sentences from a translation corpus is used.  It is released by Språkbanken.
0c7a2acd3073e02f7c4e48a4ac14e6c799935a99171605243dcca3f8e2ddf0d7	I dag går inntektene fra disse ordningene direkte til kommunene.	general,general	https://www.nb.no/sprakbanken/ressurskatalog/oai-nb-no-sbr-80/  This is a CC0 licensed corpus cleared from newspaper text. The source sentences from a translation corpus is used.  It is released by Språkbanken.
0cc8784863d56a265b2bd23e9f27048313b4a9bc83546ccad37e26f8420cf721	Får de ikke dem er import nødvendig.	general	https://www.nb.no/sprakbanken/ressurskatalog/oai-nb-no-sbr-80/  This is a CC0 licensed corpus cleared from newspaper text. The source sentences from a translation corpus is used.  It is released by Språkbanken.
0d36335d5c45a7e28f7410ab12b4db44f07de2a16a8ceb29c3031e1399491968	De vil også bli gjennomført en droneflying.	general	https://www.nb.no/sprakbanken/ressurskatalog/oai-nb-no-sbr-80/  This is a CC0 licensed corpus cleared from newspaper text. The source sentences from a translation corpus is used.  It is released by Språkbanken.
0e3cb76e8831c52bdbfbccaa047ae550a7624eba74bbcec5b32537e02215d95e	Og kanskje særlig for kvinner.	general	https://www.nb.no/sprakbanken/ressurskatalog/oai-nb-no-sbr-80/  This is a CC0 licensed corpus cleared from newspaper text. The source sentences from a translation corpus is used.  It is released by Språkbanken.
0f3aaef635541f3c39c40f84ec9ad8f35945f0536f262fe92176ff1467eec747	Byggotto er utpreget anvendelig.	general	https://www.nb.no/sprakbanken/ressurskatalog/oai-nb-no-sbr-80/  This is a CC0 licensed corpus cleared from newspaper text. The source sentences from a translation corpus is used.  It is released by Språkbanken.
10edf81e97de87b632d8035f3950d71a0286766bcdf40095351dca8a60b04b74	Det viser en ny meningsmåling.	general,general	https://www.nb.no/sprakbanken/ressurskatalog/oai-nb-no-sbr-80/  This is a CC0 licensed corpus cleared from newspaper text. The source sentences from a translation corpus is used.  It is released by Språkbanken.
111958c638a43ccc5ff7d31738c50f6dbfbf4371a566d482ddc940b89629348d	Da risikerer de lange ubetingede fengselsstraffer etter rettspraksis.	general	https://www.nb.no/sprakbanken/ressurskatalog/oai-nb-no-sbr-80/  This is a CC0 licensed corpus cleared from newspaper text. The source sentences from a translation corpus is used.  It is released by Språkbanken.
1328e7244b3903fbcd81f427d31c261e50b8f337fb5b02d9de9705e4c5911e17	Det var alarmer på utsiden og i første til fjerde etasje.	general	https://www.nb.no/sprakbanken/ressurskatalog/oai-nb-no-sbr-80/  This is a CC0 licensed corpus cleared from newspaper text. The source sentences from a translation corpus is used.  It is released by Språkbanken.
1377118ea49d62585e45b233fbcd77ec34c73b932f41be48d9a3d9be7cdf7ff3	Sju tilfeller ble påvist.	general	https://www.nb.no/sprakbanken/ressurskatalog/oai-nb-no-sbr-80/  This is a CC0 licensed corpus cleared from newspaper text. The source sentences from a translation corpus is used.  It is released by Språkbanken.
15793abdff9d5c8ce488c8fd2b6ac3f57ce3332d2f54409c0d392be3e5d7662f	Det er nå de fremmende artene stort sett har spredning.	general	https://www.nb.no/sprakbanken/ressurskatalog/oai-nb-no-sbr-80/  This is a CC0 licensed corpus cleared from newspaper text. The source sentences from a translation corpus is used.  It is released by Språkbanken.
16738946f1f50d8b604783149b1cec28775c40fbb9b011b2f831e1e78be666e0	Når rapporten er klar, er foreløpig uvisst.	general	https://www.nb.no/sprakbanken/ressurskatalog/oai-nb-no-sbr-80/  This is a CC0 licensed corpus cleared from newspaper text. The source sentences from a translation corpus is used.  It is released by Språkbanken.
