client_id	path	sentence_id	sentence	sentence_domain	up_votes	down_votes	age	gender	accents	variant	locale	segment
425503b1ee75713e0cdeaf799aba65c013948c6ec401fa6494df7f3cbeb8f7d623b6b7b2c7f4d42f5db17420266ae1c0485d4a4d439e8327252b95f78101271f	common_voice_nb-NO_43635965.mp3	5a91e4213414bb071e527972a5fdc0cdc6fbb8bf83de0e6ba62ed189811b3d22	Her har det også tidligere vært kirke.	history_law_government	1	0	fifties				nb-NO	
2e1c60eec9906c4359f0e2058037446d080dceb66bcde604a7008f8a2974072348c0df1ffc94321ab97c366e61017e07725f341cc02bf1c7d2d8cfd9148aa87b	common_voice_nb-NO_43643750.mp3	6f4048a2a486ba8dd23a8c128a85f03ce17014ab24d84f2103357b0ae11e30ea	Utenfor disse legemskrenkelsene har nødvergereglene bare en forholdsvis snever plass.		1	1					nb-NO	
cab77f8cb22474c60468396ffc621cd52e9748f5c65215d514964d7c1643b498f98cadd5708157e9f3711e3b2fb50d7167cc6b1b00e970cb88cf965fa3bfd1c1	common_voice_nb-NO_43644133.mp3	45e423fa151d74e6f395a4451d17ebdbcce0f641248d12f49584b67850313a72	Hyggelig å møte deg også		1	1			Norsk bokmål		nb-NO	
b650b69d6f025f8840d293c0237999d223ee875f82a1cf66bab0a87384d7aba167740f32aca84c11bcbee4e2db80d23dbda870de9c1c7b427ac45a7dabaf043e	common_voice_nb-NO_43644291.mp3	74ee8029678e75b60949f615aa4126897c83a8a5bea19f1c912f9397ede90e99	aviser		1	0			Oslo		nb-NO	
79af86ad55ddbe693996eb4700262759004c92ed6eb45c79bce120de76fb4f69faecd679452393b3f9c9258e9161512d5e4862361d7cba1c54f31db676789c9a	common_voice_nb-NO_43645229.mp3	548d8acd7df6e9f2063a6089aef604cc14f3e6e460231efef9b9331437f153e0	odometer		1	0					nb-NO	
ea050c94a6af7dc1d3d741a344c6231c61cb7009cf025602747c564c265639f3562d306602d1a82af93d50741308cceae3418e9402ec913bec7d75b2f2e65a45	common_voice_nb-NO_43646112.mp3	6bb1b237fa898b8533727a2b958a76ddc45df69d6b58091408843b08688a76a5	Ja de ble helt utvokste på turen ut		1	0					nb-NO	
ea050c94a6af7dc1d3d741a344c6231c61cb7009cf025602747c564c265639f3562d306602d1a82af93d50741308cceae3418e9402ec913bec7d75b2f2e65a45	common_voice_nb-NO_43646113.mp3	71738718de7b1ec29ffd209225cd7b2cace328cf1f4869c574dd211babf59e51	Bensinstasjoner er et rart konsept spør du meg		1	0					nb-NO	
65fbf8c082a023daeacf5c06be0bcf4d86baf8f8d4641450d95a1c137eae4ec990cd80eaeabb8868179bdace013196be6fab7f2b2506ba50222da6f576a0cd9c	common_voice_nb-NO_43927180.mp3	5000c5338ca14d9e6d32a3e98b5300c6d92cf821c40c0c06709cb93b66ca5be4	Fjordkjøkken har tatt konsekvensen av at den potetskrellende husmora ikke dominerer norsk middagslaging lenger.		0	0					nb-NO	
65fbf8c082a023daeacf5c06be0bcf4d86baf8f8d4641450d95a1c137eae4ec990cd80eaeabb8868179bdace013196be6fab7f2b2506ba50222da6f576a0cd9c	common_voice_nb-NO_43927181.mp3	77280353d552afaabbe0a712144d260619e2a2d7325467df289919a848ce3701	Både grønnsaker og kjøtt kan grilles på grillspyd.		0	0					nb-NO	
65fbf8c082a023daeacf5c06be0bcf4d86baf8f8d4641450d95a1c137eae4ec990cd80eaeabb8868179bdace013196be6fab7f2b2506ba50222da6f576a0cd9c	common_voice_nb-NO_43927182.mp3	6502e151c72a623616da09d895095602b996138c52bc408c16b58b4965cb47a3	Hennes myndighetsdag er en merkedag i norsk historie.		0	1					nb-NO	
65fbf8c082a023daeacf5c06be0bcf4d86baf8f8d4641450d95a1c137eae4ec990cd80eaeabb8868179bdace013196be6fab7f2b2506ba50222da6f576a0cd9c	common_voice_nb-NO_43927183.mp3	7a4903575804b9c1c846b50e7c2efae4b37b8d600f99dea00c7ef97ab1cf7adc	to en fem fire tretti fire hundre og førtien		0	0					nb-NO	
65fbf8c082a023daeacf5c06be0bcf4d86baf8f8d4641450d95a1c137eae4ec990cd80eaeabb8868179bdace013196be6fab7f2b2506ba50222da6f576a0cd9c	common_voice_nb-NO_43927184.mp3	7dda4294e47836fe70a5af57830b74e7138037cd89fae53e4d9e19f1aacb6240	Internett kan også være en trøst, sier hun.		0	0					nb-NO	
65fbf8c082a023daeacf5c06be0bcf4d86baf8f8d4641450d95a1c137eae4ec990cd80eaeabb8868179bdace013196be6fab7f2b2506ba50222da6f576a0cd9c	common_voice_nb-NO_43927312.mp3	6c10d7543b226a4308862cb7442aa288a6429bf8662e564b2d0f07d1fb0e0a20	I drømmen min hadde jeg øyne på hver finger.		0	1					nb-NO	
65fbf8c082a023daeacf5c06be0bcf4d86baf8f8d4641450d95a1c137eae4ec990cd80eaeabb8868179bdace013196be6fab7f2b2506ba50222da6f576a0cd9c	common_voice_nb-NO_43927313.mp3	5bb28c6ddae4fd696453b7588f211052324b962fc667ce1dd849a11f94119899	Han ble fort hissig, men han var ikke av de lureste.		0	1					nb-NO	
65fbf8c082a023daeacf5c06be0bcf4d86baf8f8d4641450d95a1c137eae4ec990cd80eaeabb8868179bdace013196be6fab7f2b2506ba50222da6f576a0cd9c	common_voice_nb-NO_43927314.mp3	6c1755d45974dec4a0a78fbcb94158208bde87ddbbe52b3c68788d3ccc8551fc	Bevilgningene til konkrete formål i kommunene er ikke prisjustert.		0	0					nb-NO	
65fbf8c082a023daeacf5c06be0bcf4d86baf8f8d4641450d95a1c137eae4ec990cd80eaeabb8868179bdace013196be6fab7f2b2506ba50222da6f576a0cd9c	common_voice_nb-NO_43927315.mp3	709a634cc9190df784d0a769bd9b0f28e093729180a3f30205cf28881fbd46c3	automatisk		0	0					nb-NO	
65fbf8c082a023daeacf5c06be0bcf4d86baf8f8d4641450d95a1c137eae4ec990cd80eaeabb8868179bdace013196be6fab7f2b2506ba50222da6f576a0cd9c	common_voice_nb-NO_43927316.mp3	809880ba96dafe951ae777b825605e6516ed6053d0a066d6eb10ae18fcaecd31	Vi blir derfor ikke forundret over enkelte voksnes reaksjoner på den.		0	0					nb-NO	
0d07983b15f0b01d0f7ab0daac3239df89cb6b2fca4f175dc302197c900aa63c022c65a4a125440c596786cc500774a3154f08afcbd80f19422eed4df3dfa732	common_voice_nb-NO_43933486.mp3	530f4890580ba3d050241c35dc3b69f6b84dfff8f2c7bbb424047f92b6b7446f	Stemmer lød så hjerteskjærende at selv hardere sjeler ville bli rørt.	history_law_government,media_entertainment,news_current_affairs	0	0					nb-NO	
0d07983b15f0b01d0f7ab0daac3239df89cb6b2fca4f175dc302197c900aa63c022c65a4a125440c596786cc500774a3154f08afcbd80f19422eed4df3dfa732	common_voice_nb-NO_43933487.mp3	6b8d274b78d8f6391410adaa83c08192777e9377528316f532fcf44fe00e7391	Takk for at du handler hos oss!	service_retail	0	0					nb-NO	
0d07983b15f0b01d0f7ab0daac3239df89cb6b2fca4f175dc302197c900aa63c022c65a4a125440c596786cc500774a3154f08afcbd80f19422eed4df3dfa732	common_voice_nb-NO_43933488.mp3	749fe139c2aa26e6b81c5d3262ff6fa35badced2c54a9493c4b9b4b6e4e14ccb	Men ingen får fast plass der.	general	1	1					nb-NO	
0d07983b15f0b01d0f7ab0daac3239df89cb6b2fca4f175dc302197c900aa63c022c65a4a125440c596786cc500774a3154f08afcbd80f19422eed4df3dfa732	common_voice_nb-NO_43933489.mp3	7c00981eec18ddee9fb757e711209460d1c0f3ee898250e941ddb52e4b4bba13	Legene søker ikke om driftsstøtte, men vil drive på egenandelene.		0	0					nb-NO	
0d07983b15f0b01d0f7ab0daac3239df89cb6b2fca4f175dc302197c900aa63c022c65a4a125440c596786cc500774a3154f08afcbd80f19422eed4df3dfa732	common_voice_nb-NO_43933490.mp3	7938ad34ec0fd1dea20f2f1160eac0aec7c816a210ed9a07178660345bec616d	I sommersesongen er det tennis, turgåing, svømming, klatring, fotball og trening i helsestudio.		0	0					nb-NO	
058a1d35671b2dede763c4e90ce30e34fb473d2b4c8f4d07664710d2b4f45f22d72e166ccd85eb73ad24b194fa27f978a42eac5b530c31936696dfb0dee0f538	common_voice_nb-NO_43933553.mp3	22ddf7bfe6f203986d45e7cda46955ebe066d268c5df4429fbad423b5cf5f535	Men jeg kan ikke gi deg noen rabatt. Dette er gode saker!	service_retail,language_fundamentals	0	0					nb-NO	
058a1d35671b2dede763c4e90ce30e34fb473d2b4c8f4d07664710d2b4f45f22d72e166ccd85eb73ad24b194fa27f978a42eac5b530c31936696dfb0dee0f538	common_voice_nb-NO_43933555.mp3	1afa301156a7f9e8eb4590a3ddcb8b71cdb7bce951dfdab5a35a0afe8cb54ad4	Det er en rolle som kler ham.	general	0	0					nb-NO	
058a1d35671b2dede763c4e90ce30e34fb473d2b4c8f4d07664710d2b4f45f22d72e166ccd85eb73ad24b194fa27f978a42eac5b530c31936696dfb0dee0f538	common_voice_nb-NO_43933556.mp3	331d8724f01defb71721867e97a8dc22d4e83106f4909120243c764cec93d9bb	Hvor gammel er du?		0	0					nb-NO	
058a1d35671b2dede763c4e90ce30e34fb473d2b4c8f4d07664710d2b4f45f22d72e166ccd85eb73ad24b194fa27f978a42eac5b530c31936696dfb0dee0f538	common_voice_nb-NO_43933558.mp3	7b984b5cb0db15efcde7200d191fc3c3201fcfa4b237677d096981373bc7c690	Dei galnaste seier sannast		0	0					nb-NO	
058a1d35671b2dede763c4e90ce30e34fb473d2b4c8f4d07664710d2b4f45f22d72e166ccd85eb73ad24b194fa27f978a42eac5b530c31936696dfb0dee0f538	common_voice_nb-NO_43933559.mp3	3a1960b139fec3d7810eb6bdf1601c98a33c3be80e95781ba161cebc829d1a51	Utbyggingen skal delfinansieres med bompenger.	general	0	0					nb-NO	
8c19329851a4221e1b8948665aa6b1cb900d384fc7b73cc9c9dd901163d4d41caa45010a9dc2862ec8681894cce21c1c72516c9b2f7caf4d3c5d15401f8a054d	common_voice_nb-NO_44023076.mp3	48146539b9eab8f1656160cc1330912c4ea1b54b280cfd06c4669888fc8677be	seksuelle forhold		0	0					nb-NO	
8c19329851a4221e1b8948665aa6b1cb900d384fc7b73cc9c9dd901163d4d41caa45010a9dc2862ec8681894cce21c1c72516c9b2f7caf4d3c5d15401f8a054d	common_voice_nb-NO_44023077.mp3	18bea8e43cb86e076fbd661a00e93ec30e901d7935c8d9e4f24595572140b55d	Og jeg har ikke tenkt å tape det valget.	general	0	0					nb-NO	
8c19329851a4221e1b8948665aa6b1cb900d384fc7b73cc9c9dd901163d4d41caa45010a9dc2862ec8681894cce21c1c72516c9b2f7caf4d3c5d15401f8a054d	common_voice_nb-NO_44023078.mp3	7f8a5d1095b1d56a90b4880e92043bd1cd4306b797821f4ab6b2f208c17cfcd9	Husket du og kjøpe antibac?		0	0					nb-NO	
8c19329851a4221e1b8948665aa6b1cb900d384fc7b73cc9c9dd901163d4d41caa45010a9dc2862ec8681894cce21c1c72516c9b2f7caf4d3c5d15401f8a054d	common_voice_nb-NO_44023079.mp3	6686ac732bcf59882d71947d2ffd49a37f4fe40f8743f8fda79b682d5ac1127a	land		0	0					nb-NO	
8c19329851a4221e1b8948665aa6b1cb900d384fc7b73cc9c9dd901163d4d41caa45010a9dc2862ec8681894cce21c1c72516c9b2f7caf4d3c5d15401f8a054d	common_voice_nb-NO_44023080.mp3	791ed12ebfaf478885fa6965306d21fda0ebc6c9964ea2e3822354e3a2c5927f	Forsikring er ganske kjedelig.		0	0					nb-NO	
